,Name,Symbol,Added,Market Cap,Price,Circulating Supply,Volume (24h),% 24h
0,TrueFlip,TFL,08/22/2017,?,$1.32,?*,"$14,120",?
1,VeChain,VEN,08/22/2017,?,$0.279857,?*,"$11,876,300",16.47%
2,Hshare,HSR,08/19/2017,?,$14.32,?*,"$9,151,010",-0.43%
3,MyBitToken,MYB,08/18/2017,"$9,934,194",$4.83,"2,058,214*","$37,244",9.46%
4,Krypstal,KRS,08/18/2017,?,$0.080474,?*,"$100,709",-3.36%
5,GrowersInternational,GRWI,08/18/2017,?,$0.829712,?*,"$53,993",7.48%
6,YOYOW,YOYOW,08/18/2017,?,$0.107570,?*,"$2,376",4.88%
7,Smoke,SMOKE,08/16/2017,?,$0.005321,?*,LowVol,0.42%
8,Bolenum,BLN,08/16/2017,?,$0.006389,?*,"$6,248",-35.00%
9,0x,ZRX,08/15/2017,"$194,159,000",$0.388318,"500,000,000*","$7,896,440",15.37%
10,HealthCareChain,HCC,08/15/2017,?,$0.073222,?*,"$9,499,760",19.52%
11,TheChampCoin,TCC,08/14/2017,"$27,840,287",$0.168805,"164,925,727","$1,586,790",2.66%
12,Excelcoin,EXL,08/14/2017,?,$0.002240,?,"$3,124",-23.59%
13,Timereum,TME,08/13/2017,"$156,993",$0.016356,"9,598,323",LowVol,?
14,Sojourn,SOJ,08/13/2017,"$109,113",$0.229415,"475,614","$4,315",-30.32%
15,Etheriya,RIYA,08/13/2017,"$853,136",$0.539437,"1,581,531*",LowVol,1.66%
16,CoinonatX,XCXT,08/13/2017,"$402,826",$0.035304,"11,410,105","$3,948",3.83%
17,InvestFeed,IFT,08/12/2017,?,$0.066656,?*,"$68,556",-0.83%
18,MonsterByte,MBI,08/12/2017,"$924,022",$0.054927,"16,822,736*",LowVol,-15.85%
19,Dent,DENT,08/11/2017,"$12,342,705",$0.001166,"10,589,960,960*","$50,392",-6.01%
20,BitAsean,BAS,08/11/2017,"$1,381,810",$0.276362,"5,000,000*","$72,342",2.14%
21,DigitalDevelopersFund,DDF,08/11/2017,?,$0.373887,?*,"$27,378",8.83%
22,AdShares,ADST,08/11/2017,"$1,689,912",$0.149348,"11,315,265*","$12,609",3.01%
23,BlockCAT,CAT,08/11/2017,?,$3.80,?*,"$483,475",12.69%
24,DeepOnion,ONION,08/11/2017,"$3,149,942",$0.994657,"3,166,862","$10,622",25.30%
25,InfChain,INF,08/11/2017,?,$0.030316,?,"$2,015,530",4.90%
26,AppleCoin,APW,08/11/2017,"$6,705",$0.415354,"16,142","$87,036",7.19%
27,ShadowToken,SHDW,08/11/2017,"$645,312",$0.092187,"7,000,000*","$1,502",-7.61%
28,Rupaya,RUPX,08/10/2017,"$222,435",$0.041519,"5,357,384","$2,677",-0.48%
29,Dentacoin,DCN,08/10/2017,"$2,679,285",$0.000166,"16,177,500,000*","$6,486",9.41%
30,Nexxus,NXX,08/08/2017,?,$0.018321,?*,"$3,069",79.81%
31,Stakecoin,STCN,08/08/2017,?,$1.12,?*,"$14,026",-5.01%
32,Blocktix,TIX,08/08/2017,"$18,522,400",$0.463060,"40,000,000*","$33,256",-2.62%
33,NEVERDIE,NDC,08/08/2017,"$7,719,555",$0.188263,"41,004,100*","$36,979",0.13%
34,FirstBitcoinCapital,BITCF,08/08/2017,?,$0.609424,?*,"$13,653",-22.00%
35,Rustbits,RUSTBITS,08/07/2017,"$1,179,045",$0.033400,"35,300,866*",LowVol,-2.36%
36,MaoZedong,MAO,08/07/2017,"$85,273",$0.016387,"5,203,745","$2,335",33.68%
37,IOU1,IOU,08/07/2017,"$65,300",$0.000829,"78,725,319*","$1,018",2.72%
38,Centra,CTR,08/07/2017,"$3,110,370",$0.947633,"3,282,252*","$9,292",68.13%
39,Bytom,BTM,08/07/2017,"$135,251,427",$0.200706,"673,878,347*","$24,682,500",23.54%
40,Wink,WINK,08/07/2017,?,$0.000227,?*,LowVol,30.92%
41,CoinDash,CDT,08/06/2017,?,$0.134698,?*,"$1,972,700",7.85%
42,Minex,MINEX,08/06/2017,?,$0.270875,?*,"$10,051",-35.44%
43,Etherx,ETX,08/04/2017,?,$2.05,?*,LowVol,6.17%
44,Stox,STX,08/04/2017,"$70,564,920",$2.38,"29,600,000*","$1,027,310",6.38%
45,HBCoin,HBC,08/03/2017,?,$0.008273,?*,"$4,729",8.13%
46,FudaEnergy,FEI,08/03/2017,?,$0.018317,?,"$38,160",-1.79%
47,FiboCoins,FBC,08/03/2017,?,$0.053299,?,"$34,992",-1.37%
48,FundYourselfNow,FYN,08/03/2017,"$2,309,025",$2.72,"850,000*","$5,662",33.71%
49,district0x,DNT,08/02/2017,"$103,404,000",$0.172340,"600,000,000*","$6,814,500",-2.93%
50,Compcoin,CMP,08/02/2017,"$4,280,594",$1.08,"3,969,430","$6,389",-0.92%
51,OpenAnx,OAX,07/30/2017,"$34,575,788",$1.38,"25,009,250*","$2,372,970",3.58%
52,KekCoin,KEK,07/30/2017,"$729,244",$0.073512,"9,919,995*","$5,018",18.88%
53,BlakeStar,BLAS,07/30/2017,"$122,009",$0.000497,"245,518,080","$1,847",1.70%
54,Cream,CRM,07/30/2017,"$854,865",$0.019498,"43,843,279",$975,0.52%
55,Birds,BIRDS,07/30/2017,?,$0.000159,?,LowVol,206.69%
56,Aseancoin,ASN,07/26/2017,?,$0.033189,?,"$133,650",139.16%
57,Mothership,MSP,07/26/2017,"$23,825,340",$0.170181,"140,000,000*","$251,881",9.82%
58,GeyserCoin,GSR,07/26/2017,?,$0.005379,?,LowVol,-73.53%
59,InsureX,IXT,07/26/2017,"$19,560,008",$0.546692,"35,778,844*","$275,154",-4.38%
60,PeopleCoin,MEN,07/26/2017,?,$0.001369,?,"$1,473",21.27%
61,EmberCoin,EMB,07/26/2017,"$1,214,055",$0.000124,"9,793,609,540*","$25,067",23.83%
62,CampusCoin,CMPCO,07/26/2017,"$144,384",$0.001523,"94,830,000","$5,970",29.49%
63,PrimalbaseToken,PBT,07/26/2017,"$4,622,180",$4622.18,"1,000*","$15,763",10.78%
64,300Token,300,07/24/2017,"$63,597",$211.99,300*,LowVol,-34.21%
65,BinanceCoin,BNB,07/24/2017,"$262,393,000",$2.62,"100,000,000*","$50,790,000",8.19%
66,OracleChain,OCT,07/24/2017,"$6,481,680",$0.216056,"30,000,000*","$32,571",10.18%
